Percent_Bleaching,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Realm_Name,Distance_to_Shore,ClimSST,Temperature_Minimum,Temperature_Maximum,Exposure,Turbidity,Cyclone_Frequency,Windspeed,Depth_m,Substrate_Name,SSTA,SSTA_Maximum,TSA,TSA_Maximum,Year,Month,Day
0.0,-19.1219,146.8808,Pacific,Central Indo-Pacific,126.24,300.52,292.2,305.77,Sometimes,0.1384,43.39,7,4.0,Hard Coral,-0.32,3.34,-4.29,3.27,2006,10,8
0.0,-19.1219,146.8808,Pacific,Central Indo-Pacific,126.24,300.52,292.2,305.77,Sometimes,0.1384,43.39,7,4.0,Nutrient Indicator Algae,-0.32,3.34,-4.29,3.27,2006,10,8
0.0,17.1684,-61.8183,Atlantic,Tropical Atlantic,40.13,301.28,297.17,303.79,Sheltered,0.0708,54.01,2,8.0,Hard Coral,0.73,2.49,0.72,2.02,2004,10,12
0.0,17.1684,-61.8183,Atlantic,Tropical Atlantic,40.13,301.28,297.17,303.79,Sheltered,0.0708,54.01,2,8.0,Nutrient Indicator Algae,0.73,2.49,0.72,2.02,2004,10,12
0.0,-20.0462,148.8785,Pacific,Central Indo-Pacific,356.61,297.19,292.94,304.3,Sheltered,0.0557,47.44,8,6.0,Hard Coral,-0.47,3.29,-3.17,2.66,2003,5,1
0.0,-20.0462,148.8785,Pacific,Central Indo-Pacific,356.61,297.19,292.94,304.3,Sheltered,0.0557,47.44,8,6.0,Nutrient Indicator Algae,-0.47,3.29,-3.17,2.66,2003,5,1
0.0,-20.0462,148.8785,Pacific,Central Indo-Pacific,356.61,295.31,292.94,304.3,Sheltered,0.0557,47.44,6,3.0,Hard Coral,0.97,3.29,-3.92,2.66,2007,6,10
0.0,-20.0462,148.8785,Pacific,Central Indo-Pacific,356.61,295.31,292.94,304.3,Sheltered,0.0557,47.44,6,3.0,Nutrient Indicator Algae,0.97,3.29,-3.92,2.66,2007,6,10
0.0,-20.039,148.8758,Pacific,Central Indo-Pacific,562.43,295.76,292.94,304.3,Sheltered,0.0584,47.44,5,5.0,Hard Coral,0.58,3.29,-3.31,2.66,2009,5,23
0.0,-20.039,148.8758,Pacific,Central Indo-Pacific,562.43,295.76,292.94,304.3,Sheltered,0.0584,47.44,5,5.0,Nutrient Indicator Algae,0.58,3.29,-3.31,2.66,2009,5,23
0.0,-16.3832,145.5627,Pacific,Central Indo-Pacific,227.64,299.11,294.01,305.39,Sheltered,0.0758,63.92,9,4.0,Hard Coral,-1.11,3.45,-2.86,2.86,2004,4,3
0.0,-16.3832,145.5627,Pacific,Central Indo-Pacific,227.64,299.11,294.01,305.39,Sheltered,0.0758,63.92,9,4.0,Nutrient Indicator Algae,-1.11,3.45,-2.86,2.86,2004,4,3
0.0,-16.3772,145.558,Pacific,Central Indo-Pacific,742.91,298.28,294.01,305.39,Sheltered,0.0758,63.92,5,2.0,Hard Coral,-0.81,3.45,-2.92,2.86,2009,4,11
0.0,-16.3772,145.558,Pacific,Central Indo-Pacific,742.91,298.28,294.01,305.39,Sheltered,0.0758,63.92,5,2.0,Nutrient Indicator Algae,-0.81,3.45,-2.92,2.86,2009,4,11
0.0,-12.1988,96.8313,Indian,Central Indo-Pacific,450.5,301.26,296.54,304.64,Exposed,0.0322,44.07,5,10.0,Hard Coral,0.31,3.35,0.29,3.28,2007,3,6
0.0,-12.1988,96.8313,Indian,Central Indo-Pacific,450.5,301.26,296.54,304.64,Exposed,0.0322,44.07,5,10.0,Nutrient Indicator Algae,0.31,3.35,0.29,3.28,2007,3,6
0.0,-23.4472,151.9119,Pacific,Central Indo-Pacific,459.75,299.08,292.83,302.86,Sheltered,0.0707,51.46,6,5.0,Hard Coral,-0.07,2.9,-3.14,2.58,2011,11,2
0.0,-23.4472,151.9119,Pacific,Central Indo-Pacific,459.75,299.08,292.83,302.86,Sheltered,0.0707,51.46,6,5.0,Nutrient Indicator Algae,-0.07,2.9,-3.14,2.58,2011,11,2
0.0,-23.4416,151.9048,Pacific,Central Indo-Pacific,665.19,299.08,292.83,302.86,Sheltered,0.0707,51.46,6,5.0,Hard Coral,-0.07,2.9,-3.14,2.58,2011,11,4
0.0,-23.4416,151.9048,Pacific,Central Indo-Pacific,665.19,299.08,292.83,302.86,Sheltered,0.0707,51.46,6,5.0,Nutrient Indicator Algae,-0.07,2.9,-3.14,2.58,2011,11,4
0.0,-12.0702,96.8421,Indian,Central Indo-Pacific,304.11,301.46,296.76,304.38,Exposed,0.0318,43.0,5,10.0,Hard Coral,-0.64,3.22,-1.0,2.89,2007,1,27
0.0,-12.0702,96.8421,Indian,Central Indo-Pacific,304.11,301.46,296.76,304.38,Exposed,0.0318,43.0,5,10.0,Nutrient Indicator Algae,-0.64,3.22,-1.0,2.89,2007,1,27
0.0,-20.0391,148.8748,Pacific,Central Indo-Pacific,664.67,297.19,292.94,304.3,Sheltered,0.059,47.44,4,3.5,Hard Coral,0.34,3.29,-2.12,2.66,2006,5,1
0.0,-20.0391,148.8748,Pacific,Central Indo-Pacific,664.67,297.19,292.94,304.3,Sheltered,0.059,47.44,4,3.5,Nutrient Indicator Algae,0.34,3.29,-2.12,2.66,2006,5,1
0.0,-19.123,146.8798,Pacific,Central Indo-Pacific,92.88,300.52,292.2,305.77,Sheltered,0.1384,43.39,7,4.0,Hard Coral,-0.32,3.34,-4.29,3.27,2006,10,8
0.0,-19.123,146.8798,Pacific,Central Indo-Pacific,92.88,300.52,292.2,305.77,Sheltered,0.1384,43.39,7,4.0,Nutrient Indicator Algae,-0.32,3.34,-4.29,3.27,2006,10,8
0.0,-18.5784,146.4824,Pacific,Central Indo-Pacific,188.52,299.7,293.64,305.4,Sheltered,0.0822,44.5,5,3.0,Hard Coral,0.54,3.15,-4.13,2.91,2005,9,23
0.0,-18.5784,146.4824,Pacific,Central Indo-Pacific,188.52,299.7,293.64,305.4,Sheltered,0.0822,44.5,5,3.0,Nutrient Indicator Algae,0.54,3.15,-4.13,2.91,2005,9,23
0.0,-18.5612,146.4882,Pacific,Central Indo-Pacific,299.3,298.11,293.64,305.39,Sheltered,0.0822,44.5,8,3.8,Hard Coral,0.51,3.22,-1.62,3.01,2006,4,16
0.0,-18.5612,146.4882,Pacific,Central Indo-Pacific,299.3,298.11,293.64,305.39,Sheltered,0.0822,44.5,8,3.8,Nutrient Indicator Algae,0.51,3.22,-1.62,3.01,2006,4,16
0.0,-18.5524,146.4883,Pacific,Central Indo-Pacific,174.1,298.11,293.64,305.39,Sheltered,0.0822,44.5,8,5.0,Hard Coral,0.51,3.22,-1.62,3.01,2006,4,16
0.0,-18.5524,146.4883,Pacific,Central Indo-Pacific,174.1,298.11,293.64,305.39,Sheltered,0.0822,44.5,8,5.0,Nutrient Indicator Algae,0.51,3.22,-1.62,3.01,2006,4,16
0.0,-18.5492,146.4879,Pacific,Central Indo-Pacific,94.15,298.11,293.64,305.39,Sheltered,0.0822,44.5,8,5.0,Hard Coral,0.51,3.22,-1.62,3.01,2006,4,16
0.0,-18.5492,146.4879,Pacific,Central Indo-Pacific,94.15,298.11,293.64,305.39,Sheltered,0.0822,44.5,8,5.0,Nutrient Indicator Algae,0.51,3.22,-1.62,3.01,2006,4,16
0.0,-12.1592,96.816,Indian,Central Indo-Pacific,508.49,301.31,296.91,305.04,Exposed,0.0314,43.23,5,10.0,Hard Coral,-0.79,3.77,-1.06,3.72,2007,1,28
0.0,-12.1592,96.816,Indian,Central Indo-Pacific,508.49,301.31,296.91,305.04,Exposed,0.0314,43.23,5,10.0,Nutrient Indicator Algae,-0.79,3.77,-1.06,3.72,2007,1,28
0.0,-12.1329,96.8317,Indian,Central Indo-Pacific,1067.61,301.4,296.92,305.17,Sheltered,0.0314,43.23,7,10.0,Hard Coral,0.41,3.83,0.26,3.76,2007,2,8
0.0,-12.1329,96.8317,Indian,Central Indo-Pacific,1067.61,301.4,296.92,305.17,Sheltered,0.0314,43.23,7,10.0,Nutrient Indicator Algae,0.41,3.83,0.26,3.76,2007,2,8
