Latitude_Degrees,Longitude_Degrees,Ocean_Name,Realm_Name,Distance_to_Shore,Exposure,Depth_m,Bleaching_Level,Percent_Bleaching,Temperature_Mean,Temperature_Maximum,Temperature_Kelvin,Windspeed,SSTA_Maximum,SSTA_DHW,Date,Year,Month
23.163,-82.526,Atlantic,Tropical Atlantic,8519.23,Exposed,10.0,1,50.2,300.67,304.69,302.05,8.0,2.24,0.0,2005-09-15,2005,9
-17.575,-149.7833,Pacific,Eastern Indo-Pacific,1431.62,Exposed,14.0,1,50.7,300.73,305.01,303.3,2.0,3.1,0.26,1991-03-15,1991,3
18.369,-64.564,Atlantic,Tropical Atlantic,182.33,Exposed,7.0,1,50.9,300.32,304.14,299.18,8.0,2.83,0.0,2006-01-15,2006,1
17.76,-64.568,Atlantic,Tropical Atlantic,313.13,Exposed,9.02,1,50.9,300.38,304.07,299.61,3.0,2.47,0.0,2006-04-15,2006,4
17.769,-64.583,Atlantic,Tropical Atlantic,792.0,Exposed,12.5,1,50.9,300.38,303.76,299.7,3.0,2.3,0.0,2006-04-15,2006,4
9.822,-75.891,Atlantic,Tropical Atlantic,4569.6,Sometimes,11.5,1,51.0,302.02,305.48,303.22,1.0,2.73,4.28,2005-08-15,2005,8
25.425,-80.161,Atlantic,Tropical Atlantic,3920.39,Sometimes,4.05,1,51.4,299.73,305.55,302.62,8.0,3.18,1.53,2005-09-15,2005,9
17.793,-64.628,Atlantic,Tropical Atlantic,439.36,Exposed,4.82,1,51.7,300.38,303.86,299.7,3.0,2.37,0.0,2006-04-15,2006,4
16.533,-87.979,Atlantic,Tropical Atlantic,8871.56,Exposed,9.0,1,51.8,301.23,305.65,301.49,8.0,3.08,5.3,2005-10-15,2005,10
17.784,-64.609,Atlantic,Tropical Atlantic,435.67,Sometimes,14.51,1,51.8,300.38,303.76,299.7,3.0,2.3,0.0,2006-04-15,2006,4
18.288,-87.82,Atlantic,Tropical Atlantic,1412.4,Exposed,15.0,1,52.0,300.9,304.89,301.48,5.0,4.49,6.59,2005-08-15,2005,8
11.324,-60.616,Atlantic,Tropical Atlantic,481.51,Exposed,12.0,1,52.0,300.36,304.3,300.86,6.0,3.68,7.59,2005-11-15,2005,11
25.332,-80.181,Atlantic,Tropical Atlantic,6212.5,Exposed,3.75,1,52.0,299.75,305.11,303.13,3.0,2.6,1.93,2005-08-15,2005,8
17.935,-67.019,Atlantic,Tropical Atlantic,107.64,Exposed,16.5,1,52.0,300.76,304.94,300.14,7.0,2.8,1.02,2005-12-15,2005,12
18.675,-87.707,Atlantic,Tropical Atlantic,1599.68,Sometimes,14.9,1,52.2,300.88,304.62,299.85,6.0,3.18,0.88,2005-12-15,2005,12
25.998,-80.102,Atlantic,Tropical Atlantic,1415.91,Exposed,8.3,1,52.2,299.74,304.66,302.48,7.0,2.6,3.85,2005-09-15,2005,9
18.667,-87.716,Atlantic,Tropical Atlantic,973.06,Sometimes,9.8,1,52.4,300.88,304.62,299.48,6.0,3.18,0.0,2006-03-15,2006,3
18.66,-87.709,Atlantic,Tropical Atlantic,1785.54,Sometimes,10.55,1,52.6,300.87,304.6,299.42,7.0,2.64,3.75,2005-11-15,2005,11
18.72,-87.698,Atlantic,Tropical Atlantic,537.9,Sometimes,16.05,1,52.6,300.88,304.39,303.06,4.0,4.03,5.58,2005-08-15,2005,8
18.704,-87.702,Atlantic,Tropical Atlantic,1212.26,Sometimes,15.25,1,52.6,300.88,304.62,299.85,6.0,3.18,0.88,2005-12-15,2005,12
11.222,-60.784,Atlantic,Tropical Atlantic,309.43,Exposed,7.0,1,52.6,300.46,304.45,302.43,6.0,2.67,1.16,2005-10-15,2005,10
