Percent_Bleaching,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Realm_Name,Distance_to_Shore,ClimSST,Temperature_Minimum,Temperature_Maximum,Exposure,Turbidity,Cyclone_Frequency,Windspeed,Depth_m,Substrate_Name,SSTA,SSTA_Maximum,TSA,TSA_Maximum,Year,Month,Day
0.0,-19.1219,146.8808,4,0,126.24,300.52,292.2,305.77,2,0.1384,43.39,7,4.0,1,-0.32,3.34,-4.29,3.27,2006,10,8
0.0,-19.1219,146.8808,4,0,126.24,300.52,292.2,305.77,2,0.1384,43.39,7,4.0,2,-0.32,3.34,-4.29,3.27,2006,10,8
0.0,17.1684,-61.8183,0,3,40.13,301.28,297.17,303.79,1,0.0708,54.01,2,8.0,1,0.73,2.49,0.72,2.02,2004,10,12
0.0,17.1684,-61.8183,0,3,40.13,301.28,297.17,303.79,1,0.0708,54.01,2,8.0,2,0.73,2.49,0.72,2.02,2004,10,12
0.0,-20.0462,148.8785,4,0,356.61,297.19,292.94,304.3,1,0.0557,47.44,8,6.0,1,-0.47,3.29,-3.17,2.66,2003,5,1
0.0,-20.0462,148.8785,4,0,356.61,297.19,292.94,304.3,1,0.0557,47.44,8,6.0,2,-0.47,3.29,-3.17,2.66,2003,5,1
0.0,-20.0462,148.8785,4,0,356.61,295.31,292.94,304.3,1,0.0557,47.44,6,3.0,1,0.97,3.29,-3.92,2.66,2007,6,10
0.0,-20.0462,148.8785,4,0,356.61,295.31,292.94,304.3,1,0.0557,47.44,6,3.0,2,0.97,3.29,-3.92,2.66,2007,6,10
0.0,-20.039,148.8758,4,0,562.43,295.76,292.94,304.3,1,0.0584,47.44,5,5.0,1,0.58,3.29,-3.31,2.66,2009,5,23
0.0,-20.039,148.8758,4,0,562.43,295.76,292.94,304.3,1,0.0584,47.44,5,5.0,2,0.58,3.29,-3.31,2.66,2009,5,23
0.0,-16.3832,145.5627,4,0,227.64,299.11,294.01,305.39,1,0.0758,63.92,9,4.0,1,-1.11,3.45,-2.86,2.86,2004,4,3
0.0,-16.3832,145.5627,4,0,227.64,299.11,294.01,305.39,1,0.0758,63.92,9,4.0,2,-1.11,3.45,-2.86,2.86,2004,4,3
0.0,-16.3772,145.558,4,0,742.91,298.28,294.01,305.39,1,0.0758,63.92,5,2.0,1,-0.81,3.45,-2.92,2.86,2009,4,11
0.0,-16.3772,145.558,4,0,742.91,298.28,294.01,305.39,1,0.0758,63.92,5,2.0,2,-0.81,3.45,-2.92,2.86,2009,4,11
0.0,-12.1988,96.8313,1,0,450.5,301.26,296.54,304.64,0,0.0322,44.07,5,10.0,1,0.31,3.35,0.29,3.28,2007,3,6
0.0,-12.1988,96.8313,1,0,450.5,301.26,296.54,304.64,0,0.0322,44.07,5,10.0,2,0.31,3.35,0.29,3.28,2007,3,6
0.0,-23.4472,151.9119,4,0,459.75,299.08,292.83,302.86,1,0.0707,51.46,6,5.0,1,-0.07,2.9,-3.14,2.58,2011,11,2
0.0,-23.4472,151.9119,4,0,459.75,299.08,292.83,302.86,1,0.0707,51.46,6,5.0,2,-0.07,2.9,-3.14,2.58,2011,11,2
0.0,-23.4416,151.9048,4,0,665.19,299.08,292.83,302.86,1,0.0707,51.46,6,5.0,1,-0.07,2.9,-3.14,2.58,2011,11,4
0.0,-23.4416,151.9048,4,0,665.19,299.08,292.83,302.86,1,0.0707,51.46,6,5.0,2,-0.07,2.9,-3.14,2.58,2011,11,4
0.0,-12.0702,96.8421,1,0,304.11,301.46,296.76,304.38,0,0.0318,43.0,5,10.0,1,-0.64,3.22,-1.0,2.89,2007,1,27
0.0,-12.0702,96.8421,1,0,304.11,301.46,296.76,304.38,0,0.0318,43.0,5,10.0,2,-0.64,3.22,-1.0,2.89,2007,1,27
