Percent_Bleaching,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Realm_Name,Distance_to_Shore,ClimSST,Temperature_Minimum,Temperature_Maximum,Exposure,Turbidity,Cyclone_Frequency,Windspeed,Depth_m,Substrate_Name,SSTA,SSTA_Maximum,TSA,TSA_Maximum,Year,Month,Day
0.0,-12.1988,96.8313,1,0,450.5,301.26,296.54,304.64,0,0.0322,44.07,5,10.0,1,0.31,3.35,0.29,3.28,2007,3,6
0.0,-12.1988,96.8313,1,0,450.5,301.26,296.54,304.64,0,0.0322,44.07,5,10.0,2,0.31,3.35,0.29,3.28,2007,3,6
0.0,10.702,103.2333,4,0,546.14,303.21,298.91,306.23,1,0.096,49.82,3,5.0,1,0.26,3.17,0.07,2.79,2013,4,11
0.0,10.702,103.2333,4,0,546.14,303.21,298.91,306.23,1,0.096,49.82,3,5.0,2,0.26,3.17,0.07,2.79,2013,4,11
0.0,10.7336,103.189,4,0,36.7,303.2,299.1,306.47,1,0.102,49.82,4,3.0,1,1.03,2.91,-0.76,2.85,2013,2,22
0.0,10.7336,103.189,4,0,36.7,303.2,299.1,306.47,1,0.102,49.82,4,3.0,2,1.03,2.91,-0.76,2.85,2013,2,22
0.0,10.6073,103.2778,4,0,172.38,302.29,299.0,305.7,0,0.0888,49.88,6,9.0,1,-0.35,3.26,-1.79,2.29,2009,9,18
0.0,10.6073,103.2778,4,0,172.38,302.29,299.0,305.7,0,0.0888,49.88,6,9.0,2,-0.35,3.26,-1.79,2.29,2009,9,18
0.0,-8.2004,125.6302,4,0,309.23,302.61,297.67,305.8,1,0.0489,45.37,3,5.8,1,1.24,3.06,1.24,2.84,2004,11,18
0.0,-8.2004,125.6302,4,0,309.23,302.61,297.67,305.8,1,0.0489,45.37,3,5.8,2,1.24,3.06,1.24,2.84,2004,11,18
0.0,-8.2004,125.6302,4,0,309.23,302.61,297.67,305.8,1,0.0489,45.37,3,12.0,1,1.24,3.06,1.24,2.84,2004,11,18
0.0,-8.2004,125.6302,4,0,309.23,302.61,297.67,305.8,1,0.0489,45.37,3,12.0,2,1.24,3.06,1.24,2.84,2004,11,18
0.0,-8.1863,125.6381,4,0,478.73,302.75,297.67,305.8,1,0.0489,45.37,2,13.0,1,0.11,3.06,0.06,2.84,2004,11,15
0.0,-8.1863,125.6381,4,0,478.73,302.75,297.67,305.8,1,0.0489,45.37,2,13.0,2,0.11,3.06,0.06,2.84,2004,11,15
0.0,-8.1703,125.6445,4,0,478.52,302.61,297.67,305.8,1,0.0489,45.37,3,6.6,1,1.24,3.06,1.24,2.84,2004,11,20
0.0,-8.1703,125.6445,4,0,478.52,302.61,297.67,305.8,1,0.0489,45.37,3,6.6,2,1.24,3.06,1.24,2.84,2004,11,20
0.0,-8.1703,125.6445,4,0,478.52,302.61,297.67,305.8,1,0.0489,45.37,3,12.4,1,1.24,3.06,1.24,2.84,2004,11,20
0.0,-8.1703,125.6445,4,0,478.52,302.61,297.67,305.8,1,0.0489,45.37,3,12.4,2,1.24,3.06,1.24,2.84,2004,11,20
0.0,-8.1368,125.6423,4,0,446.41,302.56,297.33,306.04,1,0.045,45.58,3,14.0,1,0.84,4.26,0.84,3.08,2004,11,23
0.0,-8.1368,125.6423,4,0,446.41,302.56,297.33,306.04,1,0.045,45.58,3,14.0,2,0.84,4.26,0.84,3.08,2004,11,23
0.0,-8.3639,116.0348,4,0,237.43,302.51,297.57,305.47,0,0.0442,47.39,3,10.0,1,-0.09,3.52,-0.45,2.86,2018,3,24
0.0,-8.3639,116.0348,4,0,237.43,302.51,297.57,305.47,0,0.0442,47.39,3,10.0,2,-0.09,3.52,-0.45,2.86,2018,3,24
